"","long","lat","order","hole","piece","id","group"
"2122",25.2485,-6.7551,2122,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2123",25.2355,-6.6893,2123,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2124",25.2355,-6.6865,2124,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2125",25.2316,-6.6794,2125,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2126",25.148,-6.6441,2126,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2127",25.1027,-6.6287,2127,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2128",25.0636,-6.6381,2128,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2129",25.0527,-6.6422,2129,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2130",24.9751,-6.6525,2130,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2131",24.975,-6.6649,2131,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2132",24.9768,-6.6884,2132,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2133",24.8582,-6.7137,2133,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2134",24.8204,-6.7771,2134,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2135",24.8433,-6.8327,2135,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2136",24.843,-6.8329,2136,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2137",24.8389,-6.8343,2137,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2138",24.809,-6.858,2138,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2139",24.7941,-6.8819,2139,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2140",24.7806,-6.8918,2140,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2141",24.7457,-6.8985,2141,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
"2142",24.7404,-6.902,2142,FALSE,"1","an1cK6GbbVw","an1cK6GbbVw.1"
